Mosque_ID,Name,Street,City,State,ZCTA,Latitude,Longitude,Urbanization_Cat,Year_Est,Status,Source,Transit_score,Walk_score,NND,NRI,Reference_ID,geocode_method
3067,M Khan Islamic Society of Upstate NY,35 Davis St,Glens Falls,NY,12801,43.315967321617,-73.656714271422,,2022,,https://www.glensfallschronicle.com/islamic-center-buys-former-glens-falls-christian-science-bldg/,,67,,,787.0,census_geocoder
3068,Islamic Center of Plattsburgh,1944 NY-22B,Morrisonville,NY,12901,44.6947275,-73.5623775,,2024,,https://icplattsburgh.org,,23,,,1323.0,nominatim
3069,Baitul Ihsan Mosque,6650 Old Collamer Road,East Syracuse,NY,13057,43.09395519878,-76.083801519217,,-,Information Without Year,(315) 400-0616,,17,,,569.0,census_geocoder
3070,Islamic Cultural Center of Bosnians in Syracuse,6500 Fremont ave,East Syracuse,NY,13057,43.085330318141,-76.028762722874,,2009,,"https://www.causeiq.com/organizations/islamic-cultural-center-if-bosniaks-in-syracuse-ny,432084195/",61,89,,,1408.0,census_geocoder
3071,ISCNY Islamic Community Center,5833 East Seneca Turnpike,Jamesville,NY,13078,42.997722593908,-76.116825049296,,1981,,https://iscnyonline.org/brief-history/,,9,,,658.0,census_geocoder
3072,Masjid Isa Ibn Maryam,501 Park Street,Syracuse,NY,13203,43.062968651863,-76.140557130505,,2014,,https://masjidisa.com/,40,74,,,566.0,census_geocoder
3073,Syracuse Islamic Center,450 Wilkinson Street,Syracuse,NY,13204,43.051016050909,-76.168459753083,,,,,37,76,,,3740.0,census_geocoder
3074,Masjid Abdullah Muslim,127 W Brighton ave,Syracuse,NY,13205,43.020512326691,-76.144074658136,,-,No Basic Information,https://www.muslimguide.com/show/Masjid_Abdullah_Muslim_3396,42,65,,,1571.0,census_geocoder
3075,Almustafa Society,947 North Salina Street,Syracuse,NY,13208,43.0634986138,-76.155592529396,,,,,39,78,,,3672.0,census_geocoder
3076,Masjid Bilal Of Syracuse,507 Pond Street,Syracuse,NY,13208,43.066039929035,-76.151501330388,,,,,39,71,,,3741.0,census_geocoder
3077,Islamic Society of Central New York,925 Comstock Ave,Syracuse,NY,13210,43.032157937827,-76.12934162147,,1981,,https://iscnyonline.org/brief-history/,51,41,,,105.0,census_geocoder
3078,Al Huda Mosque,4524 Mcdonald rd,Syracuse,NY,13215,43.013453339544,-76.202473560125,,1993,,https://prayersconnect.com/mosques/84068387-al-huda-mosque-muslim-american-society-syracuse-new-york-united-states,,8,,,856.0,census_geocoder
3079,American BH Islamic Center of Utica,407 Kossuth Avenue,Utica,NY,13501,43.096913967481,-75.210632460996,,,,,,74,,,3678.0,census_geocoder
3080,Burmese Muslim Association,1129 Brinckerhoff Avenue,Utica,NY,13501,43.092596607683,-75.228294261496,,,,,,74,,,3677.0,census_geocoder
3081,"MASJID AL MUKHLISIN.ROHINGYA COMMUNITY OF UTICA,INC",1565 Howard Avenue,Utica,NY,13501,43.087249287039,-75.237610462479,,,,,,49,,,3676.0,census_geocoder
3082,Masjid Bilal Islamic Center,884 Bleecker Street,Utica,NY,13501,43.096416958331,-75.21182953829,,,,,,77,,,3675.0,census_geocoder
3083,Masjid Nurul Islam,615 Rutger Street,Utica,NY,13501,43.094687995516,-75.221762973783,,,,,,80,,,3674.0,census_geocoder
3084,Masjid Sujud Shah - Myanmar Muslim Community of Utica (Da Da Pu Sufi Center) Inc.,781 Lansing Street,Utica,NY,13501,43.093452229993,-75.214534359212,,,,,,81,,,3673.0,census_geocoder
3085,Nooriya Kamaliya Darussalam,620 Albany Street,Utica,NY,13501,43.096454327747,-75.216470245248,,,,,,81,,,3694.0,census_geocoder
3086,Rohingya Jame Masjid,1400 Steuben Street,Utica,NY,13501,43.092340978464,-75.237482241643,,,,,,63,,,3695.0,census_geocoder
3087,Utica Masjid,1631 Kemble st,Utica,NY,13501,43.087274490459,-75.247215775606,,1994,,https://www.uticamasjid.com/,,69,,,1187.0,census_geocoder
3088,West Bosnian Islamic Centar of Utica,763 Bleecker Street,Utica,NY,13501,43.097759491202,-75.215844752618,,,,,,78,,,3696.0,census_geocoder
3089,Bosnian Islamic Association of Utica,306 Court st,Utica,NY,13502,43.100240605963,-75.235509724567,,2008,,https://www.uticaod.com/story/news/2010/04/02/utica-s-newest-mosque-gets/44809005007/,,85,,,18.0,census_geocoder
3090,Muslim Soldiers Masjid,10785A Chapel Drive,Fort Drum,NY,13602,,,,,,,,10,,,3896.0,
3091,Islamic Center of Northern New York,25918 Route 342,Calcium,NY,13616,44.037563712211,-75.852563674508,,1970,,https://icnny13616.wixsite.com/islamiccenternny/ https://beacon.schneidercorp.com/Application.aspx?AppID=1336&LayerID=45587&PageTypeID=4&PageID=17992&Q=2109156150&KeyValue=22408975.00-1-1,,26,,,70.0,census_geocoder
3092,Postdam Mosque,110 Elm St,Potsdam,NY,13676,44.669982340721,-74.966603409825,,1983,,"https://www.causeiq.com/organizations/muslim-students-association-of-northern-new-york,161492745/",,18,,,454.0,census_geocoder
3093,Endicott Islamic Center,1202 Monroe Street,Endicott,NY,13760,42.102370121887,-76.049263169852,,,,,,87,,,3899.0,census_geocoder
3094,IQRA CULTURAL CENTER INC.(MASJID ISA),1701 Riverview Drive,Endicott,NY,13760,42.098083540867,-76.040784448821,,,,,,66,,,3898.0,census_geocoder
3095,Islamic Organization of Southern Tier (IOST),161 Grand Avenue,Johnson City,NY,13790,42.110557606578,-75.95583690003,,,,,,72,,,3889.0,census_geocoder
3096,Masjid Al-Nur,106 Grand ave,Johnson City,NY,13790,42.110622726132,-75.952711931678,,1999,,https://www.pressconnects.com/story/news/local/2015/02/06/take-look-inside-islamic-organization-mosque/23018151/,,79,,,1735.0,census_geocoder
3097,Osmanli Naksibendi Sufi Center,1663 Wheat Hill rd,Sidney Center,NY,13839,42.319742455271,-75.236318573963,,2002,,https://www.naksibendi.us/about/,,1,,,2128.0,census_geocoder
3098,Binghamton Islamic Cultural Center,400 Mirador Road,Vestal,NY,13850,42.082027025694,-76.043956023518,,,,,,38,,,3714.0,census_geocoder
3099,The Binghamton Mosque - Bait-ul-Humd,10 Sheedy Road,Vestal,NY,13850,42.052319577166,-76.028591164531,,,,,,6,,,3713.0,census_geocoder
3100,Uncle Fikry Mosque,2276 New York 17,Windsor,NY,13865,,,,,,,,0,,,3702.0,
3101,Masjid Dar ul Huda,37 Carroll Street,Binghamton,NY,13901,42.097060439713,-75.90666795262,,,,,,73,,,3820.0,census_geocoder
3102,Islamic Awareness Center,74 Conklin Avenue,Binghamton,NY,13903,42.092660410522,-75.908420766537,,,,,,64,,,3821.0,census_geocoder
3103,Masjid Daar At Tawheed Wa Sunnah,5030 Thompson Road,Clarence,NY,14031,42.983304714187,-78.647273416982,,,,,,7,,,3908.0,census_geocoder
3104,Muslim Community Center of WNY,94 Meridian Street,Depew,NY,14043,42.904298655994,-78.693204119175,,,,,,57,,,3906.0,census_geocoder
3105,Jaffarya Center of Niagara Frontier,10300 Transit rd,Amherst,NY,14051,43.049990324535,-78.696982622879,,1970,,https://www.jaffarya.org/about/,,11,,,1499.0,census_geocoder
3106,Islamic Society-Niagara Frontier,745 Heim Road,Amherst,NY,14068,43.021384098036,-78.743707980685,,,,,,13,,,3828.0,census_geocoder
3107,ISNF Masjid An-Noor,745 Heim Rd,Town of Amherst,NY,14068,43.021384098036,-78.743707980685,,1995,,https://isnfwny.org/about,,13,,,320.0,census_geocoder
3108,Island Mosque (SAMA),1822 Huth Road,Grand Island,NY,14072,43.051021160435,-78.960218177566,,,,,,3,,,3895.0,census_geocoder
3109,Hazrat Abu-Bakar Siddik Masjid,232 South Street,Lockport,NY,14094,43.169732258666,-78.682743263886,,,,,,73,,,3927.0,census_geocoder
3110,Lovejoy Madinah Mosque,1030 East Lovejoy Street,Buffalo,NY,14206,42.889800820393,-78.810259869719,,,,,36,66,,,3794.0,census_geocoder
3111,Lovejoy Mosque,1107 East Lovejoy Street,Buffalo,NY,14206,42.889695228883,-78.807304286439,,,,,36,68,,,3792.0,census_geocoder
3112,Hamlin Park Islamic Center,416 Wohlers Avenue,Buffalo,NY,14208,42.915179651759,-78.848133488995,,,,,53,69,,,3795.0,census_geocoder
3113,Madina Islamic Center of Buffalo,270 Laurel Street,Buffalo,NY,14208,42.910164566039,-78.85499819655,,,,,55,80,,,3790.0,census_geocoder
3114,Baitul Aman Mosque,637 Walden Avenue,Buffalo,NY,14211,42.904970316474,-78.81253698821,,,,,43,62,,,3781.0,census_geocoder
3115,Buffalo Muslim Center (BMC),995 Fillmore Avenue,Buffalo,NY,14211,42.900457592522,-78.839205887413,,,,,50,71,,,3800.0,census_geocoder
3116,Darus Salaam Masjid,75 E Parade ave,Buffalo,NY,14211,42.905694582298,-78.83574907587,,1985,,https://directory.alfafaa.com/listing/masjid-daru-s-salaam/,50,69,,,167.0,census_geocoder
3117,Islamic Da'wah Center of Buffalo,1522 Genesee Street,Buffalo,NY,14211,42.908595029173,-78.823965993613,,,,,47,64,,,3805.0,census_geocoder
